id,country,region,date,lockdown,ref
246,Uruguay,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uruguay
247,US,Alabama,04/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
248,US,Alaska,28/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
249,US,Arizona,31/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
250,US,Arkansas,,None,
251,US,California,19/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
252,US,Colorado,26/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
253,US,Connecticut,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
254,US,Delaware,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
255,US,District of Columbia,,None,
256,US,Florida,02/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
257,US,Georgia,,None,
258,US,Guam,26/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Guam
259,US,Hawaii,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
260,US,Idaho,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
261,US,Illinois,21/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
262,US,Indiana,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
263,US,Iowa,,None,
264,US,Kansas,30/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
265,US,Kentucky,26/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
266,US,Louisiana,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
267,US,Maine,02/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
268,US,Maryland,30/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
269,US,Massachusetts,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
270,US,Michigan,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
271,US,Minnesota,27/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
272,US,Mississippi,03/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
273,US,Missouri,06/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
274,US,Montana,28/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
275,US,Nebraska,,None,
